update,total_loss,policy_loss,value_loss,entropy
1,0.0096,-0.0001,0.0469,1.3771
2,0.0173,0.0003,0.0617,1.3772
3,0.0063,0.0002,0.0399,1.3777
4,-0.0005,-0.0004,0.0274,1.3791
5,-0.0009,-0.0005,0.0268,1.3789
6,0.0104,-0.0004,0.0492,1.3797
7,-0.0056,0.001,0.0144,1.379
8,-0.005,0.0008,0.0158,1.3786
9,-0.0034,0.0001,0.0207,1.379
10,0.0011,-0.0007,0.0311,1.3795
11,-0.0075,-0.0003,0.0131,1.3787
12,-0.0036,0.0002,0.02,1.3801
13,-0.0028,-0.0006,0.0232,1.3803
14,-0.0036,-0.0,0.0204,1.3806
15,-0.0087,-0.0,0.0103,1.3805
16,-0.0081,0.0004,0.0105,1.3797
17,-0.0108,-0.0001,0.0063,1.3792
18,-0.0001,0.0004,0.0265,1.3794
19,-0.0035,0.0002,0.0203,1.3792
20,-0.0082,-0.0005,0.0122,1.3787
21,-0.0025,-0.0002,0.0229,1.3788
22,-0.0091,0.0001,0.009,1.3778
23,-0.0043,-0.0004,0.0198,1.38
24,-0.0068,-0.0008,0.0156,1.3798
25,-0.0119,-0.0008,0.0054,1.3782
26,-0.0074,0.0001,0.0125,1.3766
27,-0.0093,-0.0002,0.0094,1.3766
28,0.0202,-0.0002,0.0683,1.3786
29,0.0165,-0.0001,0.0608,1.3778
30,0.0068,-0.0003,0.0417,1.3762
31,-0.0016,0.0002,0.0239,1.3738
32,-0.0096,0.0006,0.0072,1.3745
33,-0.0124,-0.0006,0.0038,1.3729
34,-0.007,0.0,0.0136,1.3771
35,-0.0095,-0.0003,0.0091,1.3769
36,-0.0032,0.0001,0.0208,1.3745
37,-0.0094,-0.0005,0.0096,1.3715
38,-0.0075,-0.0003,0.013,1.3697
39,-0.0099,-0.0003,0.0083,1.3707
40,-0.0121,-0.0008,0.0048,1.3706
41,-0.0097,-0.0004,0.0089,1.3694
42,-0.0018,0.0008,0.0222,1.3692
43,-0.0026,0.0005,0.0211,1.3698
44,-0.0092,0.0009,0.0072,1.3704
45,-0.0069,-0.0006,0.015,1.3736
46,-0.0095,0.0,0.0085,1.3747
47,-0.0104,-0.0006,0.0079,1.3707
48,-0.0088,0.0003,0.009,1.368
49,0.0062,-0.0001,0.0399,1.3677
50,-0.0109,0.0006,0.0043,1.3696
51,-0.0094,-0.0001,0.0087,1.366
52,-0.0096,0.0005,0.0071,1.3652
53,0.0055,0.0008,0.0367,1.3652
54,0.0009,0.0008,0.0276,1.3653
55,-0.0122,0.0001,0.0027,1.365
56,-0.0094,-0.0002,0.009,1.3694
57,-0.0075,-0.0003,0.0132,1.3694
58,-0.0102,-0.0006,0.008,1.3634
59,-0.0123,-0.0006,0.0039,1.3615
60,0.0033,0.0005,0.0328,1.3603
61,0.0007,0.0003,0.0281,1.3627
62,-0.0104,0.0,0.0063,1.3593
63,0.0026,0.0001,0.0322,1.3624
64,-0.0094,0.0004,0.0076,1.3607
65,-0.0092,0.0009,0.0069,1.3582
66,-0.0115,-0.0004,0.0049,1.3592
67,-0.009,0.0003,0.0087,1.363
68,-0.01,0.0004,0.0065,1.3639
69,-0.0039,0.0001,0.0191,1.3579
70,0.0098,0.0007,0.0455,1.3579
71,0.0419,-0.0004,0.1118,1.3575
72,0.0215,0.0007,0.0687,1.3599
73,0.0117,-0.0008,0.0521,1.3582
74,-0.0049,0.0013,0.0148,1.3543
75,-0.0109,-0.0003,0.0057,1.3507
76,-0.0076,0.0001,0.0116,1.3523
77,-0.0099,0.0003,0.0065,1.3488
78,-0.0061,0.0004,0.014,1.3537
79,-0.0095,-0.0004,0.0087,1.355
80,-0.0043,0.0002,0.0182,1.3493
81,0.0015,-0.0001,0.0302,1.3474
82,-0.0094,-0.0002,0.0085,1.3433
83,-0.0108,0.0002,0.005,1.3448
84,-0.0073,0.0001,0.0119,1.3426
85,0.0224,-0.0002,0.0722,1.3479
86,-0.0012,-0.0003,0.025,1.3439
87,-0.0018,0.0004,0.0224,1.339
88,-0.0072,-0.0004,0.0133,1.3379
89,-0.0079,-0.0001,0.0114,1.3458
90,-0.0102,0.0004,0.0056,1.3474
91,-0.0036,-0.0001,0.0199,1.3434
92,-0.0099,0.0005,0.0058,1.3351
93,-0.0057,0.0002,0.0147,1.3332
94,-0.0117,-0.0003,0.0038,1.3324
95,-0.0041,0.0007,0.0169,1.3301
96,-0.0047,-0.0005,0.0181,1.3301
97,-0.0068,0.0002,0.0127,1.3309
98,-0.0117,0.0004,0.0025,1.3341
99,-0.0117,0.0002,0.0029,1.3344
100,-0.0087,0.0002,0.0089,1.3384
101,-0.0111,-0.0001,0.0049,1.3388
102,0.0083,-0.0003,0.0439,1.3361
103,0.021,-0.0004,0.0696,1.3374
104,0.0069,0.0002,0.0401,1.3348
105,-0.0067,-0.0002,0.0137,1.3282
106,-0.0074,-0.0005,0.0127,1.3229
107,-0.0083,-0.0004,0.0107,1.3244
108,-0.006,0.0002,0.0143,1.3268
109,-0.0056,-0.0001,0.0153,1.322
110,-0.0049,-0.0003,0.0172,1.3246
111,-0.0079,-0.0003,0.0113,1.3289
112,-0.0086,0.0003,0.0089,1.3293
113,-0.0039,0.0003,0.0181,1.3267
114,-0.001,0.0004,0.0238,1.3297
115,-0.0084,-0.0004,0.0104,1.3195
116,-0.0102,-0.0001,0.0062,1.3187
117,-0.0096,-0.0004,0.0079,1.3177
118,-0.0081,0.0008,0.0085,1.3184
119,-0.0105,0.0001,0.0051,1.3159
120,-0.0091,0.0006,0.007,1.3139
121,-0.0099,0.0001,0.0063,1.3127
122,-0.0068,-0.0006,0.0139,1.3197
123,-0.0106,-0.0002,0.0056,1.3211
124,-0.0096,-0.0,0.0071,1.3143
125,-0.0094,-0.0003,0.008,1.3098
126,-0.01,0.0,0.0061,1.3025
127,0.0044,-0.0001,0.035,1.3066
128,0.0064,-0.0002,0.0393,1.309
129,0.0241,0.0006,0.0735,1.3231
130,0.0176,-0.0001,0.0619,1.3216
131,-0.005,0.0,0.0162,1.3124
132,-0.0089,-0.0009,0.0101,1.3054
133,-0.0081,-0.0001,0.0102,1.3094
134,-0.01,0.001,0.0042,1.3112
