episode,reward
1,-8950.0
2,-6325.0
3,-11167.000000000002
4,-3669.25
5,-7255.75
6,-4998.25
7,-14137.5
8,-5974.75
9,-1326.0
10,-12003.75
11,-2437.0000000000005
12,-9111.75
13,-3041.5
14,-3164.0
15,-946.0
16,-4358.0
17,-5286.25
18,1488.25
19,1830.25
20,-4980.5
21,-1250.25
22,3773.25
23,-5223.75
24,-11610.5
25,3242.0
26,2906.5
27,2106.25
28,1555.75
29,-4168.000000000001
30,3959.5
31,-3498.75
32,-3946.000000000001
33,2709.25
34,-2184.0
35,1618.25
36,-3192.25
37,1287.5
38,1133.9999999999995
39,816.5
40,-3291.25
41,-4999.75
42,2980.75
43,-2588.0
44,4702.5
45,3303.75
46,2090.0
47,-1445.75
48,-5495.750000000001
49,-2367.25
50,5843.0
51,-1300.25
52,1198.0
53,2984.0
54,-4035.5
55,4244.0
56,1665.75
57,4598.0
58,3340.0
59,-2539.25
60,150.25
61,4891.75
62,3228.25
63,2054.5
64,-1211.75
65,596.5
66,1787.25
67,-6391.0
68,1448.0
69,-904.0
70,5826.5
71,376.5
72,-8895.5
73,-6494.75
74,5881.5
75,3347.25
76,2726.0
77,636.25
78,-204.7500000000001
79,-2835.7500000000005
80,-1444.25
81,-5073.0
82,-8855.25
83,2342.5
84,4278.0
85,1264.5
86,-275.0
87,-6274.25
88,5548.5
89,-3029.75
90,-4435.500000000001
91,4745.5
92,-892.0000000000002
93,6139.75
94,1712.0
95,-632.0
96,-4629.500000000001
97,6069.0
98,-456.0
99,-499.0
100,6972.0
101,1198.0
102,72.49999999999997
103,6563.5
104,-452.25
105,2860.0
106,-1404.75
107,-1586.25
108,-625.5000000000002
109,-4052.5
110,4012.25
111,-595.7500000000005
112,922.0
113,4822.25
114,2161.25
115,606.0
116,-3468.25
117,1384.5
118,-1092.75
119,3908.0
120,-5659.75
121,-226.0
122,-535.0000000000002
123,889.75
124,-1455.5
125,-5437.25
126,2849.25
127,1450.0
128,-3154.5
129,222.25
130,-1697.75
131,6933.25
132,972.5
133,3565.0
134,602.75
135,1773.75
136,-11658.5
137,-5546.0
138,1412.0
139,-4152.5
140,-8841.5
141,1441.5
142,3956.0
143,672.5
144,269.99999999999994
145,1550.75
146,2022.75
147,2835.0
148,508.25
149,-672.0
150,-3300.25
151,-2950.5
152,4775.75
153,-3163.0
154,5943.0
155,-2158.75
156,1018.0
157,4240.0
158,-1620.25
159,2375.75
160,1760.25
161,2120.25
162,-8081.0
163,-945.25
164,-452.5
165,4976.75
166,25.5
167,-4210.500000000001
168,-4035.0
169,620.25
170,-10386.0
171,-1727.75
172,2373.5
173,-7883.000000000001
174,1719.25
175,-473.0000000000002
176,-8987.5
177,4619.5
178,-2059.0
179,-3627.75
180,-6003.25
181,4788.75
182,-7660.75
183,5692.25
184,-1181.0000000000002
185,-2275.0000000000005
186,6077.0
187,-341.7500000000001
188,3521.0
189,-1787.0
190,-4908.75
191,1154.0
192,-1955.5
193,55.5
194,619.25
195,28.249999999999986
196,892.0
197,-3346.0000000000005
198,1928.75
199,1319.75
200,2696.25
201,-5038.75
202,-2085.5
203,-358.75
204,-3939.5
205,387.5
206,534.5
207,6196.0
208,-2001.7500000000005
209,2307.25
210,-1771.2500000000005
211,1151.2499999999998
212,2876.0
213,2659.0
214,599.0
215,-2686.5
216,-535.5000000000001
217,-2432.75
218,-13123.000000000002
219,-5821.5
220,-2362.25
