update,total_loss,policy_loss,value_loss,entropy
1,-0.0042,0.0002,0.0187,1.3731
2,-0.0071,0.0003,0.0127,1.3717
3,-0.004,-0.0001,0.0196,1.3742
4,0.016,0.0011,0.0573,1.3762
5,0.0014,0.0005,0.0294,1.3769
6,0.0154,0.0006,0.0571,1.3774
7,0.0004,-0.0002,0.0287,1.3765
8,-0.0074,-0.0007,0.014,1.3754
9,-0.0045,-0.0,0.0186,1.3759
10,-0.006,0.0054,0.0047,1.3768
11,-0.0018,-0.0009,0.0259,1.3767
12,-0.0033,-0.0007,0.0223,1.3756
13,-0.007,-0.0006,0.0147,1.3762
14,-0.0085,-0.0016,0.0137,1.3765
15,-0.0009,0.0001,0.0256,1.3776
16,-0.0067,-0.0012,0.0166,1.3775
17,-0.006,-0.0011,0.0178,1.3787
18,-0.007,-0.0001,0.0138,1.3789
19,-0.0068,-0.0024,0.0188,1.3788
20,0.003,0.0009,0.0317,1.3798
21,-0.0142,-0.0041,0.0074,1.38
22,-0.0104,-0.0005,0.0077,1.3797
23,-0.0111,-0.0004,0.0061,1.3802
24,-0.0136,-0.0024,0.0051,1.3812
25,-0.0063,-0.0013,0.0176,1.3818
26,0.0087,-0.0004,0.0457,1.382
27,0.0087,-0.0028,0.0507,1.3826
28,0.0037,-0.0013,0.0375,1.383
29,0.0108,-0.0014,0.052,1.3829
30,-0.0105,0.0022,0.0023,1.3826
31,-0.0085,-0.0012,0.013,1.383
32,-0.0089,-0.0012,0.0123,1.3827
33,-0.0086,-0.0005,0.0113,1.3828
34,-0.0126,-0.0007,0.004,1.3828
35,-0.0068,-0.0023,0.0186,1.3831
36,-0.013,-0.0017,0.0049,1.3829
37,-0.0068,0.0016,0.0108,1.3829
38,-0.0152,-0.0041,0.0053,1.3829
39,-0.0148,-0.0031,0.0043,1.3827
40,-0.0085,-0.0033,0.0171,1.3826
41,-0.0099,-0.0045,0.0169,1.3836
42,-0.0125,-0.0015,0.0057,1.383
43,0.0029,0.001,0.0314,1.3834
44,-0.0108,-0.0027,0.0115,1.3831
45,-0.0097,-0.0036,0.0154,1.383
46,-0.0116,-0.0027,0.01,1.3826
47,-0.012,-0.0,0.0036,1.3823
48,-0.0108,0.0008,0.0044,1.3828
