episode,reward
1,-10789.0
2,-4438.25
3,-16506.75
4,-1854.75
5,-4040.25
6,-9956.5
7,-17311.25
8,-3955.7500000000005
9,-2134.75
10,-14631.75
11,-2426.75
12,-8916.0
13,-9979.5
14,-6794.75
15,-5135.5
16,-14749.250000000002
17,-8110.5
18,-2923.0
19,-4516.0
20,-6471.75
21,-3137.25
22,-3648.0
23,-6732.5
24,-13099.0
25,-1114.5
26,-1469.5000000000002
27,-3335.0
28,-2599.0
29,-3184.5
30,1005.75
31,-5060.5
32,-7494.250000000001
33,-866.25
34,-6637.75
35,-3309.5000000000005
36,-12177.750000000002
37,-3483.25
38,1103.75
39,-6205.25
40,-2280.25
41,-9231.75
42,-1693.5000000000005
43,-7595.5
44,-481.25
45,-2251.5
46,-7002.0
47,-3654.5
48,-10522.5
49,-5403.25
50,1928.25
51,-6804.250000000001
52,-4630.5
53,-3273.2500000000005
54,-7314.75
55,-2766.0
56,-2342.25
57,-3257.0
58,-2429.75
59,-3160.25
60,-1607.5000000000002
61,1031.5
62,-893.0000000000001
63,-1898.7500000000002
64,-9786.000000000002
65,1373.25
66,306.99999999999994
67,-10464.000000000002
68,268.9999999999998
69,-3735.75
70,-360.75000000000034
71,-6916.500000000001
72,-12284.0
73,-6537.0
74,-435.25
75,-3366.25
76,-699.0000000000002
77,-3430.75
78,-3189.75
79,-6492.5
80,-4641.25
81,-11322.25
82,-9374.500000000002
83,-2695.25
84,-948.75
85,-2500.25
86,-6451.0
87,-6854.0
88,400.25
89,-9493.0
90,-7744.750000000001
91,491.0
92,-5163.250000000001
93,459.75
94,-8201.0
95,-7571.5
96,-7911.75
97,-1040.25
98,-4479.5
99,-4905.25
100,1487.25
101,-3853.75
102,-6866.25
103,1231.5
104,-2364.0
105,-1318.0000000000002
106,-2955.7500000000005
107,-3247.5
108,-5335.25
109,-4510.75
110,1007.5
111,-3440.75
112,-90.25000000000001
113,1511.75
114,-404.7500000000002
115,-1103.2500000000002
116,-7172.75
117,-4480.250000000001
118,-6986.0
119,-1874.5
120,-3413.25
121,-1869.25
122,-2126.5
123,-675.5000000000003
124,-4724.750000000001
125,-4018.75
126,550.75
127,-1644.0
128,-3109.5
129,152.0
130,-2849.5
131,1479.75
132,-3269.25
133,312.9999999999998
134,-631.25
135,-1428.25
136,-11170.500000000002
137,-11014.5
138,-6425.75
139,-6981.500000000001
140,-20410.0
141,-4761.75
142,1115.7499999999998
143,-1658.5
144,727.0
145,-513.0000000000001
146,-29.0
147,62.999999999999886
148,-2460.5
149,-734.75
150,-5134.750000000001
151,-4078.5
152,31.249999999999993
153,-9154.750000000002
154,2446.75
155,-7009.75
156,373.5
157,892.0
158,-3938.5000000000005
159,-1398.0
160,-1591.0
