update,total_loss,policy_loss,value_loss,entropy
1,0.015,0.0001,0.0574,1.3798
2,0.0222,0.0004,0.0711,1.3799
3,0.0184,-0.0002,0.0648,1.3805
4,0.0128,-0.0,0.0533,1.3814
5,0.0121,-0.0003,0.0526,1.3812
6,0.0003,-0.0001,0.0286,1.3804
7,0.0026,0.0001,0.0326,1.3812
8,-0.0013,-0.0011,0.0272,1.3813
9,-0.0038,-0.0,0.0202,1.3815
10,-0.0125,-0.0015,0.0056,1.3816
11,0.0105,-0.0002,0.0488,1.3819
12,0.0198,0.0006,0.0661,1.3818
13,0.0196,0.0008,0.0653,1.3821
14,0.0289,0.0005,0.0846,1.3823
15,0.0302,0.0003,0.0876,1.3822
16,0.0199,0.0003,0.0669,1.3822
17,0.0228,-0.0007,0.0746,1.3825
18,0.0222,0.0001,0.0718,1.3828
19,0.0195,-0.0003,0.0671,1.3822
20,-0.0094,0.0007,0.0075,1.3819
21,0.0159,-0.0007,0.0609,1.3821
22,0.0207,-0.0005,0.07,1.3816
23,0.0155,-0.0003,0.0594,1.3816
24,0.0187,-0.0003,0.0656,1.3817
25,0.0293,0.0005,0.0853,1.3819
26,0.0338,-0.0001,0.0954,1.3819
27,0.0388,-0.0002,0.1056,1.382
28,0.0276,-0.0004,0.0838,1.3814
29,0.0197,0.0004,0.0661,1.3815
30,-0.0097,0.0018,0.0047,1.3813
31,0.0228,0.0003,0.0727,1.3817
32,0.034,0.0006,0.0944,1.3806
33,0.0136,-0.0,0.0549,1.3808
34,0.0109,0.0002,0.049,1.3808
35,0.0368,-0.0,0.1012,1.3803
36,0.0088,-0.0009,0.0469,1.3792
37,0.0109,-0.0005,0.0503,1.3792
38,0.009,0.0003,0.045,1.378
39,0.0205,-0.001,0.0706,1.3788
40,-0.0059,-0.0024,0.0206,1.379
41,0.021,-0.0001,0.0698,1.3793
42,0.0101,0.0003,0.047,1.3781
43,-0.0043,0.0002,0.0184,1.3772
44,0.0073,-0.0004,0.043,1.3772
45,0.006,0.0003,0.039,1.3772
46,-0.0018,-0.0002,0.0243,1.3774
47,0.0015,-0.0003,0.0312,1.3762
48,0.0003,0.0002,0.0276,1.3766
49,0.001,-0.0014,0.0324,1.3767
50,-0.0137,-0.0022,0.0044,1.3754
51,0.0091,-0.0003,0.0464,1.378
52,0.0063,-0.0005,0.0411,1.3765
53,0.0049,-0.0004,0.0381,1.377
54,0.014,0.0003,0.0549,1.3769
55,-0.0011,0.0003,0.0246,1.3753
56,-0.0049,0.0004,0.0169,1.3743
57,-0.0057,0.0009,0.0143,1.3737
58,-0.0027,-0.0002,0.0224,1.3734
59,-0.0074,-0.0012,0.015,1.3742
60,-0.0125,-0.0007,0.0039,1.3727
61,0.0052,0.0004,0.0371,1.3765
62,0.0152,0.0002,0.0576,1.3753
63,-0.0057,-0.0002,0.0165,1.3742
64,0.0178,-0.0002,0.0634,1.3736
65,0.0138,-0.0002,0.0554,1.3747
66,0.0248,0.0009,0.0752,1.3745
67,0.0214,0.0008,0.0686,1.3738
68,0.0142,-0.0008,0.0575,1.3729
69,0.0009,-0.0008,0.0308,1.3704
70,-0.0107,0.0011,0.0039,1.3701
71,0.0064,0.0003,0.0397,1.3734
72,0.0062,-0.0002,0.0403,1.3702
73,0.0125,-0.0007,0.0538,1.3718
74,0.0055,-0.0007,0.0398,1.3713
75,-0.0025,-0.0006,0.0235,1.3702
76,-0.0012,0.001,0.0228,1.3688
77,-0.0024,-0.0002,0.0229,1.3693
78,-0.0026,0.0012,0.0198,1.3693
79,0.0089,0.0001,0.0448,1.3698
80,-0.0094,0.0008,0.007,1.3696
81,0.0059,-0.0008,0.0408,1.3723
82,0.007,0.0012,0.039,1.3698
83,0.0015,0.0009,0.0286,1.3683
84,0.0059,0.0013,0.0366,1.3679
85,0.0313,0.0002,0.0896,1.3696
86,0.0233,0.0,0.0739,1.3701
87,0.0167,0.0007,0.0595,1.37
88,0.0024,0.0001,0.0319,1.3673
89,0.0053,0.0002,0.0374,1.3675
90,-0.01,0.0008,0.0057,1.3649
91,0.0132,-0.0006,0.0551,1.3692
92,0.0141,0.0004,0.0548,1.367
93,0.0081,-0.0011,0.0459,1.3681
94,0.0164,0.0011,0.058,1.3704
95,0.0505,-0.0001,0.1286,1.3721
96,0.0403,-0.0006,0.109,1.3684
97,-0.005,0.0004,0.0164,1.3648
98,0.0161,0.0016,0.0565,1.3665
99,0.0165,-0.0002,0.0608,1.3702
100,-0.0099,0.0011,0.0052,1.3689
101,0.0215,0.0,0.0704,1.3684
102,0.0172,0.0,0.0616,1.3677
103,0.0035,-0.0011,0.0365,1.3666
104,0.0085,0.0001,0.0442,1.367
105,0.0007,-0.0004,0.0295,1.365
106,-0.002,0.0007,0.0218,1.3636
107,-0.0033,0.0001,0.0204,1.3617
108,0.003,0.0002,0.0329,1.3627
109,-0.0027,0.0009,0.0202,1.3637
110,-0.0101,0.0003,0.0063,1.3644
111,0.0116,-0.0005,0.0516,1.3667
112,0.0083,0.0006,0.0426,1.3661
113,0.0501,-0.0,0.1275,1.3666
114,0.0712,0.0003,0.1691,1.3682
115,0.018,0.0002,0.063,1.3688
116,0.0118,0.0,0.0509,1.3662
117,-0.004,-0.0007,0.0208,1.366
118,0.003,0.0004,0.0325,1.3665
119,0.0024,0.0002,0.0317,1.3658
120,-0.0128,-0.0018,0.0053,1.3625
121,0.0096,-0.0002,0.047,1.3655
122,0.0149,0.0004,0.0564,1.365
123,0.0273,0.0006,0.0807,1.3659
124,0.0541,-0.0003,0.1363,1.3701
125,0.0504,0.0008,0.1267,1.3736
126,0.0638,-0.0004,0.1558,1.3714
127,0.0336,-0.0008,0.0962,1.3712
128,0.0297,0.0001,0.0867,1.3703
129,0.0301,0.0002,0.0872,1.3706
130,-0.0071,0.0021,0.009,1.3693
131,0.0134,-0.0006,0.0553,1.3661
132,0.0056,0.0008,0.0369,1.3649
133,0.0404,-0.0015,0.111,1.3646
134,0.0566,-0.0,0.1406,1.3676
135,0.0353,-0.0008,0.0996,1.3696
136,0.0243,0.0013,0.0734,1.3677
137,0.0149,-0.0007,0.0584,1.3654
138,0.0062,0.0006,0.0386,1.3624
139,0.0045,-0.0007,0.0376,1.3632
140,-0.0078,0.0043,0.0031,1.3616
141,0.0212,0.0011,0.0675,1.367
142,0.0128,-0.001,0.0548,1.3661
143,-0.0004,-0.0,0.0266,1.3652
144,0.0215,-0.0005,0.0714,1.3699
145,0.0235,0.0006,0.0732,1.3672
146,0.0345,0.0011,0.0941,1.3676
147,0.0275,0.0004,0.0816,1.3713
148,0.005,-0.0005,0.0383,1.3658
149,0.0063,-0.0006,0.0411,1.3661
150,-0.0113,-0.0,0.0047,1.3638
151,0.0147,0.0008,0.0553,1.3677
152,0.01,-0.0004,0.048,1.3647
153,0.0406,0.001,0.1066,1.3661
154,0.0642,0.0011,0.1538,1.3694
155,0.0545,0.0002,0.1362,1.372
156,0.0593,0.0005,0.1451,1.3743
157,0.0533,0.001,0.1319,1.3739
158,0.057,0.0018,0.1378,1.3736
159,0.0348,-0.0008,0.0986,1.3723
160,-0.0067,-0.0013,0.0166,1.368
161,0.0154,0.0005,0.0572,1.3662
162,0.0155,0.0005,0.0571,1.3648
163,0.0038,0.0013,0.0324,1.3653
164,0.0457,-0.0006,0.12,1.37
165,0.0318,-0.0,0.0911,1.37
166,0.0269,0.001,0.079,1.3655
167,0.0232,0.0004,0.0729,1.3676
168,0.0073,0.001,0.0398,1.3655
169,0.0408,-0.0002,0.1094,1.3691
170,-0.0071,-0.0026,0.0184,1.3674
171,0.0245,-0.0002,0.0768,1.3644
172,0.0231,-0.0001,0.0737,1.3652
173,0.0142,0.0005,0.0546,1.3639
174,0.025,-0.0007,0.0786,1.3655
175,0.0056,-0.0,0.0385,1.3672
176,0.0148,0.0008,0.0555,1.3667
177,0.0107,-0.0007,0.0501,1.3675
178,0.0051,0.0003,0.0369,1.3639
179,0.0149,0.0011,0.055,1.3643
180,-0.0103,0.0001,0.0064,1.3617
181,0.0136,0.0007,0.0531,1.3638
182,0.0194,0.0014,0.0634,1.3648
183,0.0209,-0.0005,0.07,1.3647
184,0.0175,0.0004,0.0616,1.3667
185,0.0004,0.0006,0.0267,1.3638
186,0.0119,0.0007,0.0498,1.3667
187,0.0163,0.0004,0.0591,1.365
