episode,reward
1,-20634.75
2,-33196.75
3,-28313.5
4,-18064.0
5,-10050.25
6,-11932.5
7,-25544.0
8,-15744.75
9,-14846.5
10,-18431.0
11,-10612.5
12,-25392.000000000004
13,-37380.75
14,-21630.0
15,-15530.25
16,-30875.5
17,-19729.0
18,-16744.0
19,-16025.0
20,-24764.5
21,-36208.75
22,-15349.75
23,-21369.75
24,-15396.25
25,-15233.0
26,-23382.25
27,-19573.25
28,-22326.0
29,-21618.25
30,-19868.25
31,-17376.75
32,-24144.25
33,-13867.25
34,-19923.75
35,-20764.25
36,-20908.75
37,-12394.25
38,-11890.0
39,-15609.25
40,-13504.75
41,-26925.75
42,-20001.5
43,-30922.5
44,-31142.5
45,-25075.25
46,-15897.5
47,-14556.0
48,-18490.75
49,-25321.25
50,-21205.25
51,-10837.25
52,-15624.5
53,-18325.0
54,-18552.0
55,-13923.75
56,-17207.25
57,-19674.5
58,-23354.0
59,-21309.75
60,-19266.25
61,-12313.75
62,-18891.25
63,-22764.000000000004
64,-18967.0
65,-15477.75
66,-19827.5
67,-16868.5
68,-12409.5
69,-25343.75
70,-13128.75
71,-36326.25
72,-21498.0
73,-15648.75
74,-19388.5
75,-27574.75
76,-20904.5
77,-9784.0
78,-14694.75
79,-17952.500000000004
80,-19595.25
81,-20674.75
82,-40488.0
83,-21672.5
84,-22755.750000000004
85,-24918.25
86,-18593.500000000004
87,-13403.0
88,-14707.5
89,-13272.5
90,-30659.75
91,-11810.25
92,-15125.0
93,-16256.5
94,-17137.5
95,-22867.0
96,-17981.0
97,-33822.0
98,-34462.5
99,-25723.0
100,-20330.0
101,-23009.0
102,-19852.25
103,-18941.5
104,-26679.75
105,-12528.750000000002
106,-14972.5
107,-16797.25
108,-16160.5
109,-17246.0
110,-12472.0
111,-20602.25
112,-24425.0
113,-10055.250000000002
114,-16857.75
115,-17753.5
116,-23641.25
117,-28328.5
118,-24931.5
119,-25689.25
120,-22618.0
121,-9042.5
122,-19899.0
123,-30580.5
124,-22790.75
125,-26616.25
126,-27895.25
127,-22547.25
128,-23137.5
129,-18306.0
130,-21634.75
131,-7729.5
132,-36798.0
133,-15060.5
134,-9018.25
135,-19326.0
136,-14341.25
137,-29005.5
138,-21620.25
139,-21843.25
140,-21588.25
141,-16479.75
142,-28835.5
143,-28793.25
144,-13426.25
145,-12423.0
146,-22788.5
147,-21070.5
148,-23500.5
149,-18681.75
150,-31243.5
151,-14833.0
152,-13458.5
153,-15623.75
154,-20495.5
155,-31187.0
156,-23967.000000000004
157,-14817.0
158,-10792.75
159,-14876.0
160,-19189.000000000004
