final_mstt,final_mss,total_trips,total_recalculations,total_obstacle_broadcasts,avg_trip_time,avg_wait_per_vehicle,timesteps_run,market_penetration,communication_radius,num_vehicles,num_obstacles,label,runtime_seconds,seed
10.193,0.825,4656,0,0,10.648,4.122,490,0.0,0.5,100,2,MP=0%_seed=0,0.56,0
10.855,0.814,4285,0,0,11.574,5.095,490,0.0,0.5,100,2,MP=0%_seed=1,0.55,1
10.872,0.78,4060,0,0,12.217,5.607,490,0.0,0.5,100,2,MP=0%_seed=2,0.55,2
10.223,0.685,4887,76,309,10.139,3.033,490,0.25,0.5,100,2,MP=25%_seed=0,18.16,0
10.867,0.671,4466,76,1029,11.099,3.869,490,0.25,0.5,100,2,MP=25%_seed=1,17.75,1
10.724,0.688,4401,96,727,11.271,3.999,490,0.25,0.5,100,2,MP=25%_seed=2,18.61,2
10.414,0.74,5272,281,1002,9.381,1.996,490,0.5,0.5,100,2,MP=50%_seed=0,45.79,0
9.998,0.705,4933,239,1461,10.041,2.444,490,0.5,0.5,100,2,MP=50%_seed=1,48.18,1
9.181,0.695,4998,227,850,9.909,2.438,490,0.5,0.5,100,2,MP=50%_seed=2,53.48,2
9.07,0.73,5824,366,1259,8.502,1.082,490,0.75,0.5,100,2,MP=75%_seed=0,87.65,0
9.06,0.738,5621,314,2305,8.821,1.382,490,0.75,0.5,100,2,MP=75%_seed=1,78.1,1
8.369,0.773,5600,309,1878,8.851,1.391,490,0.75,0.5,100,2,MP=75%_seed=2,71.36,2
8.081,0.743,6410,479,1872,7.723,0.292,490,1.0,0.5,100,2,MP=100%_seed=0,106.88,0
8.499,0.769,6177,416,3615,8.026,0.585,490,1.0,0.5,100,2,MP=100%_seed=1,107.51,1
7.334,0.72,6463,404,2486,7.673,0.385,490,1.0,0.5,100,2,MP=100%_seed=2,101.48,2
